"","employees","salaries2017","salaries2018","change","got_raise"
"1","Employee 1",44235.4932730086,54016.6989038698,9781.20563086122,TRUE
"2","Employee 2",43231.194796972,50271.1514767725,7039.95667980053,TRUE
"3","Employee 3",45304.3278167024,53447.8850394953,8143.55722279288,TRUE
"4","Employee 4",47745.8267845213,49053.3771773335,1307.55039281212,TRUE
"5","Employee 5",46941.8711983599,52376.2722546235,5434.4010562636,TRUE
"6","Employee 6",47782.8735089861,54882.3053413071,7099.43183232099,TRUE
"7","Employee 7",49385.2260382846,47000.0058272853,-2385.22021099925,FALSE
"8","Employee 8",40596.6857052408,49655.2223677281,9058.53666248731,TRUE
"9","Employee 9",41881.3845445402,48385.0004372653,6503.61589272507,TRUE
"10","Employee 10",43249.216650147,43640.136012109,390.919361962005,TRUE
"11","Employee 11",43643.675216008,43372.8687441908,-270.806471817195,FALSE
"12","Employee 12",43871.7975770123,41768.2213615626,-2103.57621544972,FALSE
"13","Employee 13",43641.1743354984,43872.6095738821,231.43523838371,TRUE
"14","Employee 14",46406.906102784,51278.661689721,4871.75558693707,TRUE
"15","Employee 15",43160.5500914156,50736.3720459398,7575.82195452414,TRUE
"16","Employee 16",46536.7012470961,43427.1881193854,-3109.51312771067,FALSE
"17","Employee 17",46206.0248409398,42684.633753961,-3521.39108697884,FALSE
"18","Employee 18",47123.3845804818,55495.848582359,8372.46400187723,TRUE
"19","Employee 19",45600.1974339597,42871.7604617123,-2728.43697224744,FALSE
"20","Employee 20",48703.0040519312,47783.7353607174,-919.268691213802,FALSE
"21","Employee 21",48396.9760825858,46735.7575311325,-1661.2185514532,FALSE
"22","Employee 22",42081.8171766587,40375.0130301341,-1706.80414652452,FALSE
"23","Employee 23",46652.0908474922,49514.7602213547,2862.66937386245,TRUE
"24","Employee 24",48118.2378204539,47156.0188080184,-962.219012435526,FALSE
"25","Employee 25",49378.058926668,59128.1623393297,9750.1034126617,TRUE
"26","Employee 26",43942.6963427104,51831.6079000942,7888.91155738384,TRUE
"27","Employee 27",42434.1311096214,43530.1323316526,1096.00122203119,TRUE
"28","Employee 28",42225.7081442513,40707.7487895731,-1517.95935467817,FALSE
"29","Employee 29",49374.3043439463,50389.7042176686,1015.39987372234,TRUE
"30","Employee 30",43280.8630215004,50833.3495410625,7552.48651956208,TRUE
"31","Employee 31",42625.4328223877,38400.86015407,-4224.57266831771,FALSE
"32","Employee 32",43680.5436410941,42274.9204351567,-1405.62320593745,FALSE
"33","Employee 33",48752.8215278871,52211.3821667153,3458.5606388282,TRUE
"34","Employee 34",48658.0678564496,54861.3159020897,6203.24804564007,TRUE
"35","Employee 35",44434.789060615,53952.1045587026,9517.31549808756,TRUE
"36","Employee 36",43223.5368248075,46244.8971532285,3021.360328421,TRUE
"37","Employee 37",41299.6241822839,41218.2804825716,-81.3436997123063,FALSE
"38","Employee 38",48345.3836431727,48728.8236513268,383.440008154139,TRUE
"39","Employee 39",45744.7026041336,48162.7105094958,2418.00790536217,TRUE
"40","Employee 40",49550.1047070138,54600.9865205269,5050.88181351312,TRUE
"41","Employee 41",40378.8806614466,46877.4211825803,6498.54052113369,TRUE
"42","Employee 42",49357.3067407124,54869.1929737106,5511.88623299822,TRUE
"43","Employee 43",49362.982288003,47264.2031160649,-2098.77917193808,FALSE
"44","Employee 44",47352.273305878,42427.0591745153,-4925.21413136274,FALSE
"45","Employee 45",43647.921551019,51256.4822519198,7608.56070090085,TRUE
"46","Employee 46",48749.7472111136,54115.495615406,5365.74840429239,TRUE
"47","Employee 47",47545.4587046988,54164.6620829124,6619.20337821357,TRUE
